name,role,team
Ankush Rathee,Defender,Bengaluru Bulls Team 2025
Akash Santosh Shinde,Raider,Bengaluru Bulls Team 2025
Pankaj,Raider,Bengaluru Bulls Team 2025
Lucky Jaydev Dhankar,Defender,Bengaluru Bulls Team 2025
Sanjay Krishan Dhull,Defender,Bengaluru Bulls Team 2025
Yogesh Bijender Dahiya,Defender,Bengaluru Bulls Team 2025
Chandra Manja Naik,All Rounder,Bengaluru Bulls Team 2025
Aashish Malik,Raider,Bengaluru Bulls Team 2025
Ganesha B Hanamantagol,Raider,Bengaluru Bulls Team 2025
Mahipal Palaram,Raider,Bengaluru Bulls Team 2025
Manjeet Thakur,Raider,Bengaluru Bulls Team 2025
Shubham Bitake,Raider,Bengaluru Bulls Team 2025
Deepak Sankar,Defender,Bengaluru Bulls Team 2025
Manish Dhull,Defender,Bengaluru Bulls Team 2025
Satyappa Matti,Defender,Bengaluru Bulls Team 2025
Shubham Rahate,Defender,Bengaluru Bulls Team 2025
Ahmad Reza Asgari,All Rounder,Bengaluru Bulls Team 2025
Alireza Mirzaian,All Rounder,Bengaluru Bulls Team 2025
Amit Singh Aman Thakur,All Rounder,Bengaluru Bulls Team 2025
Dheeraj Rajveer,All Rounder,Bengaluru Bulls Team 2025
Jitender Yadav,All Rounder,Bengaluru Bulls Team 2025
Sachin Krishan,All Rounder,Bengaluru Bulls Team 2025
Sahil Suhas Rane,All Rounder,Bengaluru Bulls Team 2025
