name,role,team
Ashu Malik,Raider,Dabang Delhi K.C. Team 2025
Sandeep Deswal,Defender,Dabang Delhi K.C. Team 2025
Mohit Deswal,Raider,Dabang Delhi K.C. Team 2025
Gaurav Hari Om Chillar,Defender,Dabang Delhi K.C. Team 2025
Ajinkya Ashok Pawar,Raider,Dabang Delhi K.C. Team 2025
Akshit Kuldeep Dhull,Raider,Dabang Delhi K.C. Team 2025
PO Surjeet Singh,Defender,Dabang Delhi K.C. Team 2025
Saurabh Nandal,Defender,Dabang Delhi K.C. Team 2025
Fazel Atrachali,Defender,Dabang Delhi K.C. Team 2025
Amir Hossein Bastami,Defender,Dabang Delhi K.C. Team 2025
Anil Parbhulal Gurjar,Raider,Dabang Delhi K.C. Team 2025
Neeraj Narwal,Raider,Dabang Delhi K.C. Team 2025
Vijay,Raider,Dabang Delhi K.C. Team 2025
Anurag Jai Kanwar,Defender,Dabang Delhi K.C. Team 2025
Mohit Rajesh Narwal,Defender,Dabang Delhi K.C. Team 2025
Raman Inderjeet Singh,Defender,Dabang Delhi K.C. Team 2025
Amit,All Rounder,Dabang Delhi K.C. Team 2025
Arkam Shaikh,All Rounder,Dabang Delhi K.C. Team 2025
Ashish Kumar Sangwan,All Rounder,Dabang Delhi K.C. Team 2025
Naveen Rawal,All Rounder,Dabang Delhi K.C. Team 2025
