name,role,team
Nitin Rawal,All Rounder,Jaipur Pink Panthers Team 2025
Reza Mirbagheri,Defender,Jaipur Pink Panthers Team 2025
Sombir Ajmer Singh Mehra,Raider,Jaipur Pink Panthers Team 2025
Abhishek KS,Defender,Jaipur Pink Panthers Team 2025
Ronak Singh Chaudhary,Defender,Jaipur Pink Panthers Team 2025
Ritik  Sudesh Sharma,Raider,Jaipur Pink Panthers Team 2025
Vinay  Virender Redhu,Raider,Jaipur Pink Panthers Team 2025
Mohit,Defender,Jaipur Pink Panthers Team 2025
Ali Samadi,Raider,Jaipur Pink Panthers Team 2025
Meetu Mahender Sharma,Raider,Jaipur Pink Panthers Team 2025
Nitin Kumar Dhankhar,Raider,Jaipur Pink Panthers Team 2025
Parvinder Boora,Raider,Jaipur Pink Panthers Team 2025
Sahil Satpal,Raider,Jaipur Pink Panthers Team 2025
Uday Kumar Parte,Raider,Jaipur Pink Panthers Team 2025
Ashish Randhir Bambal,Defender,Jaipur Pink Panthers Team 2025
Aryan Satyawan Kumar,Defender,Jaipur Pink Panthers Team 2025
Deepanshu Pardeep Khatri,Defender,Jaipur Pink Panthers Team 2025
Sahil Manoj Deswal,Defender,Jaipur Pink Panthers Team 2025
