rank,name,matches,raid_points
1,Pardeep Narwal,190,1801
2,Maninder Singh,165,1568
3,Arjun Deshwal,132,1383
4,Pawan Kumar Sehrawat,142,1340
5,Naveen Kumar,107,1102
6,Rahul Chaudhari,154,1045
7,Deepak Niwas Hooda,157,1020
8,Sachin Tanwar,133,899
9,Ashu Malik,105,882
10,Ajay Thakur,115,790
11,Vikash Kandola,115,752
12,Siddharth Sirish Desai,80,693
13,Shrikant Jadhav,141,692
14,Rohit Kumar,108,685
15,Guman Singh,97,647
16,Rishank Devadiga,122,625
17,Vijay Malik,98,617
18,Monu Goyat,97,584
19,Ajinkya Ashok Pawar,128,579
20,Rakesh Sungroya,96,575
21,Kashiling Adake,92,561
22,Surender Gill,81,548
23,Aslam Inamdar,87,537
24,Anup Kumar,91,527
25,Pankaj Deepak Mohite,99,508
26,Chandran Ranjit,99,503
27,Prashanth Kumar Rai,123,500
28,Ayan Lohchab,47,500
29,Mohit Goyat,85,495
30,V. Ajith Kumar,90,494
31,Nitin Tomar,91,491
32,Rohit Gulia,110,490
33,Jang Kun Lee,106,471
34,Sukesh Hegde,115,471
35,Abhishek Singh,74,442
36,Nitin Kumar Dhankhar,49,442
37,Bharat Hooda,62,435
38,Shivam Anil Patare,66,429
39,Parteek Dahiya,58,388
40,Jasvir Singh,77,380
41,Bhavani Rajput,98,379
42,Gagan Raju Gowda,49,367
43,Akash Santosh Shinde,72,358
44,Deepak Narwal,93,353
45,Meraj Sheykh,99,350
46,Neeraj Narwal,96,336
47,Nilesh Salunke,81,318
48,Ajit Ramesh Chouhan,38,303
49,Narender Hoshiyar Kandola,44,297
50,Mahendra Ganesh Rajput,90,294
51,Rajesh Narwal,95,285
52,Sandeep Narwal,156,285
53,Pawan Kumar Kadian,75,282
54,Meetu Mahender Sharma,66,280
55,Wazir Singh,46,278
56,Rohit Baliyan,70,275
57,Devank Dalal,16,271
58,K. Prapanjan,63,264
59,Rajesh Mondal,89,260
60,Ajay Kumar,67,260
61,Sandeep Dukhan Kumar,53,252
62,Narender Hoshiyar,23,243
63,Amir Md. Zafardanesh,58,242
64,Manjeet Chhillar,132,225
65,Mohammad Esmaeil Nabibakhsh,95,225
66,Shabeer Bappu,74,213
67,Alireza Mirzaian,29,212
68,Manjeet Dahiya,45,212
69,Sonu Jaglan,47,196
70,Aditya Tushar Shinde,36,196
71,Sushil Om Khatri,37,191
72,Himanshu Virender Singh,65,191
73,Rakesh Kumar,55,186
74,Rakesh Narwal,58,186
75,K Prapanjan,52,185
76,Deepak Kumar Dahiya,53,181
77,Cpo Surjeet Singh,48,176
78,Ravi Dalal,38,173
79,Jai Bhagwan,47,170
80,Mahesh Goud,65,165
81,Nitin Madane,37,165
82,Surjeet Narwal,31,160
83,More Gb,72,158
84,Vishwas S,45,158
85,Sudhakar Maruthamuthu,49,157
86,Selvamani K,59,154
87,Akshit Kuldeep Dhull,33,148
88,Athul Ms,54,147
89,Abolfazl Maghsodloumahali,47,147
90,Surender Singh,50,146
91,Nitin Rawal,83,144
92,Ashish Kaptan Narwal,38,142
93,Sonu Narwal,33,138
94,Tushar Patil,53,135
95,Moein Shafaghi,27,131
