rank,name,matches,defence_points
1,Fazel Atrachali,207,597
2,Nitesh Kumar,201,564
3,Po Surjeet Singh,190,476
4,Sunil Kumar,178,442
5,Manjeet Chhillar,132,391
6,Parvesh Bhainswal,179,381
7,Sandeep Narwal,156,360
8,Vishal Bhardwaj,136,359
9,Girish Maruti Ernak,143,359
10,Mahender Singh,165,345
11,Ravinder Pahal,124,339
12,Saurabh Nandal,131,333
13,Sandeep Kumar Dhull,118,328
14,Ran Singh,156,299
15,Mohit Chhillar,109,277
16,Surender Nada,101,274
17,Amit Hooda,103,268
18,Dharmaraj Cheralathan,123,261
19,Jeeva Kumar,136,257
20,Shubham Shashikant Shinde,117,244
21,Rahul Sethpal,99,243
22,Neeraj Kumar,134,238
23,Rinku Sharma,91,234
24,Kuldeep Singh,125,230
25,Ashu Singh,128,228
26,Ravi Kumar,132,214
27,Gaurav Khatri,80,212
28,Joginder Singh Narwal,109,210
29,Abinesh Nadarajan,103,207
30,Vishal Mane,135,203
31,Abozar Mohajermighani,85,203
32,Yogesh Bijender Dahiya,64,200
33,Ankit Jaglan,70,196
34,Reza Mirbagheri,80,188
35,Sahil Gulia,76,187
36,Mohammadreza Shadloui,48,181
37,Nitin Rawal,120,181
38,Sumit Sangwan,63,179
39,Jaideep Kuldeep Dahiya,63,175
40,Mohammadreza Shadloui Chianeh,44,173
41,Sagar Rathee,57,168
42,Krishan Dhull,85,160
43,Deepak Singh,77,158
44,Mohit Nandal,67,156
45,Vishal Lather,69,156
46,Sahul Kumar,83,152
47,Rinku Narwal,75,148
48,Ankush Rathee,47,143
49,Ashish Sahdev Malik,55,141
50,Rohit Rana,82,136
51,Abishek S Manokaran,78,135
52,Nilesh Shinde,69,135
53,Surender Singh,94,129
54,Sanket Suresh Sawant,105,127
55,Hadi Oshtorak,93,127
56,Anil Kumar,92,126
57,C. Arun,105,121
58,Surinder Singh,57,120
59,Jaideep Kuldeep,43,120
60,Sachin Shingade,75,119
61,Rajesh Narwal,92,113
62,Jasmer Singh Gulia,52,109
63,Sandeep Kandola,46,107
64,Ashish Kumar,76,106
65,Mohit Khaler,47,104
66,Vinod Kumar,101,104
67,Sanjay Krishan Dhull,50,103
68,D. Suresh Kumar,59,103
69,Ajit Pandurang Pawar,63,102
70,Baldev Singh,58,100
71,Deepak Niwas Hooda,157,99
72,Vikas Kale,60,99
73,Amit Sheoran,50,97
74,Bajirao Hodage,61,95
75,Mohit Goyat,79,95
76,Mayur Jagannath Kadam,69,92
77,Lucky Sharma,62,91
78,Vaibhav Garje,48,90
79,Harendra Kumar,77,90
80,Sombir Goswami,32,87
81,Somvir Shekhar,52,86
82,Aslam Inamdar,87,84
83,Ruturaj Shivaji Koravi,50,82
84,Shrikant Tewthia,74,81
85,Mohammad Esmaeil Nabibakhsh,79,79
86,Farhad Rahimi Milaghardan,62,79
87,Mohit Jakhar,59,78
88,Sagar B Krishna,72,77
89,Rakesh Kumar,55,74
90,Amir Hossein Bastami,38,70
91,Anup Kumar,91,69
92,Aashish Umed,47,68
93,Sagar Rathe,18,66
94,Jitender Yadav,28,65
95,Pawan Kumar Sehrawat,115,65
96,Deepak Sankar,19,64
97,Amit Kumar,50,64
98,Amit Nirwal,39,62
99,Sunil Siddhgavali,46,61
100,Rahul Chaudhari,143,61
101,Nitin Panwar,43,60
102,Arkam Shaikh,47,59
103,More Gb,72,59
104,Manoj Kumar,52,59
105,Amit Singh Chhillar,34,59
106,Aman Mukesh,28,59
107,Sandeep Deswal,39,56
108,Prashant Chavan,41,56
109,Sachin Kumar,49,56
110,Mohsen Maghsoudloujafari,75,56
