name,role,team
Sumit Sangwan,Defender,UP Yoddhas Team 2025
Ashu Singh,Defender,UP Yoddhas Team 2025
Hitesh,Defender,UP Yoddhas Team 2025
Bhavani Rajput,Raider,UP Yoddhas Team 2025
Surender Gill,Raider,UP Yoddhas Team 2025
Sahul Kumar,Defender,UP Yoddhas Team 2025
Mahender Singh,Defender,UP Yoddhas Team 2025
Mohammadreza Kaboudrahangi,Defender,UP Yoddhas Team 2025
Gagan Raju Gowda,Raider,UP Yoddhas Team 2025
Keshav Bal Krishan Kumar,Raider,UP Yoddhas Team 2025
Gangaram Tanu Ram,Defender,UP Yoddhas Team 2025
Sachin Manipal,Defender,UP Yoddhas Team 2025
Jayesh Vikas Mahajan,Defender,UP Yoddhas Team 2025
Guman Singh,Raider,UP Yoddhas Team 2025
Dong Geon Lee,Raider,UP Yoddhas Team 2025
Jatin Bhupender Singh,Raider,UP Yoddhas Team 2025
Shivam Chaudhary,Raider,UP Yoddhas Team 2025
Krishan Dhull,Unknown,UP Yoddhas Team 2025
Ronak Shri Bhagwan Nain,Defender,UP Yoddhas Team 2025
