name,role,team
Devank Dalal,Raider,Bengal Warriorz Team 2025
Nitesh Kumar,Defender,Bengal Warriorz Team 2025
Vishwas S,Raider,Bengal Warriorz Team 2025
Sushil Motesh Kambrekar,Raider,Bengal Warriorz Team 2025
Manjeet Sanjay Mitra Choudary,Defender,Bengal Warriorz Team 2025
Deep Kumar Sanjay Sharma,Defender,Bengal Warriorz Team 2025
Yash Malik,Defender,Bengal Warriorz Team 2025
Parteek,Defender,Bengal Warriorz Team 2025
Jang Kun Lee,Raider,Bengal Warriorz Team 2025
Himanshu Surajmal Narwal,Raider,Bengal Warriorz Team 2025
Manprit Pardeep,Raider,Bengal Warriorz Team 2025
Omid Khojasteh Mohammadshah,Raider,Bengal Warriorz Team 2025
Punit Nasib Kumar,Raider,Bengal Warriorz Team 2025
Rachit Bangali Babu Yadav,Raider,Bengal Warriorz Team 2025
Phool Chandra Aman Singh,Unknown,Bengal Warriorz Team 2025
Amandeep Ranbir Singh Kajal,Defender,Bengal Warriorz Team 2025
Ankit,Defender,Bengal Warriorz Team 2025
Ashish Sahdev Malik,Defender,Bengal Warriorz Team 2025
Harander,Defender,Bengal Warriorz Team 2025
Sandeep Azad Saini,Defender,Bengal Warriorz Team 2025
Moolchand Lekhraj Singh Marko,All Rounder,Bengal Warriorz Team 2025
Shivansh Prem Singh Thakur,All Rounder,Bengal Warriorz Team 2025
