name,role,team
Mohammadreza Shadloui Chiyaneh,All Rounder,Gujarat Giants Team 2025
Parteek Dahiya,Raider,Gujarat Giants Team 2025
Rakesh Sungroya,Raider,Gujarat Giants Team 2025
Himanshu Virender Singh,Raider,Gujarat Giants Team 2025
Himanshu Jaglan,Defender,Gujarat Giants Team 2025
Lucky Sharma,Defender,Gujarat Giants Team 2025
Nitin Panwar,All Rounder,Gujarat Giants Team 2025
Rohit Surender Nandal,Defender,Gujarat Giants Team 2025
Ankit Jai Bhagwan Dahiya,Raider,Gujarat Giants Team 2025
Aryavardhan Navale,Raider,Gujarat Giants Team 2025
Harish Kamatchi,Raider,Gujarat Giants Team 2025
Shridhar Ananda Kadam,Raider,Gujarat Giants Team 2025
Amit Surender,Defender,Gujarat Giants Team 2025
Milad Jabbari,Defender,Gujarat Giants Team 2025
Shubham Kumar,Defender,Gujarat Giants Team 2025
Sumit,Defender,Gujarat Giants Team 2025
Himanshu Sunil Kumar Yadav,All Rounder,Gujarat Giants Team 2025
Visvanth V,All Rounder,Gujarat Giants Team 2025
