name,role,team
Jaideep Kuldeep Dahiya,Defender,Haryana Steelers Team 2025
Vinay,Raider,Haryana Steelers Team 2025
Rahul Sethpal,Defender,Haryana Steelers Team 2025
Shivam Anil Patare,Raider,Haryana Steelers Team 2025
Sahil Azad Narwal,All Rounder,Haryana Steelers Team 2025
Vishal Tate,Raider,Haryana Steelers Team 2025
Ns.Jayasoorya Nagarajan,Defender,Haryana Steelers Team 2025
Manikandan Nesamani,Defender,Haryana Steelers Team 2025
Ghanshyam Roka Magar,Raider,Haryana Steelers Team 2025
Vikas Ramdas Jadhav,Raider,Haryana Steelers Team 2025
Hardeep Ranbir,Defender,Haryana Steelers Team 2025
Ashish Narwal,All Rounder,Haryana Steelers Team 2025
Rahul Rakesh Kalirawna Ahri,Defender,Haryana Steelers Team 2025
Mayank Gurnam Saini,Raider,Haryana Steelers Team 2025
Sha Mohammed Shahan,Raider,Haryana Steelers Team 2025
Ankit Rakesh Dhull,Defender,Haryana Steelers Team 2025
Neeraj Kumar,Defender,Haryana Steelers Team 2025
Ritik Radheyshyam,Defender,Haryana Steelers Team 2025
Sachin,Defender,Haryana Steelers Team 2025
Zubair,Defender,Haryana Steelers Team 2025
