name,role,team
Ankit Jaglan,All Rounder,Patna Pirates Team 2025
Ayan Lohchab,Raider,Patna Pirates Team 2025
Maninder Singh,Raider,Patna Pirates Team 2025
Deepak Singh,Defender,Patna Pirates Team 2025
Navdeep,Defender,Patna Pirates Team 2025
Sudhakar Maruthamuthu,Raider,Patna Pirates Team 2025
Deepak Ranbir Singh Jaglan,Raider,Patna Pirates Team 2025
Hamid Mirzaei Nader,Defender,Patna Pirates Team 2025
Sanket Suresh Sawant,Defender,Patna Pirates Team 2025
Sombir,Defender,Patna Pirates Team 2025
Amin Ghorbani,Defender,Patna Pirates Team 2025
Ankit Bijay Kumar Rana,Raider,Patna Pirates Team 2025
Mandeep Tula Ram Kumar,Raider,Patna Pirates Team 2025
Milan Mahak Singh Dahiya,Raider,Patna Pirates Team 2025
Sahil Shahaji Patil,Raider,Patna Pirates Team 2025
Vaibhav Bhausaheb Garje,Unknown,Patna Pirates Team 2025
Ashish Jagat Birwal,Defender,Patna Pirates Team 2025
Balaji Dhanabal,Defender,Patna Pirates Team 2025
Saurabh Shri Ram Narwal,Defender,Patna Pirates Team 2025
