name,role,team
Aslam Inamdar,All Rounder,Puneri Paltan Team 2025
Pankaj Deepak Mohite,Raider,Puneri Paltan Team 2025
Gaurav Khatri,Defender,Puneri Paltan Team 2025
Sachin Tanwar,Raider,Puneri Paltan Team 2025
Mohit Goyat,Raider,Puneri Paltan Team 2025
Abinesh Nadarajan,Defender,Puneri Paltan Team 2025
Mohd Amaan,Defender,Puneri Paltan Team 2025
Dadaso Shivaji Pujari,Defender,Puneri Paltan Team 2025
Aditya Tushar Shinde,Raider,Puneri Paltan Team 2025
Mohammad Esmaeil Nabibakhsh,Raider,Puneri Paltan Team 2025
Vishal Bhardwaj,Defender,Puneri Paltan Team 2025
Stuwart Surender Singh,Raider,Puneri Paltan Team 2025
Abhishek Tukaram Gunge,Raider,Puneri Paltan Team 2025
Milad Mohajer,Raider,Puneri Paltan Team 2025
Rakesh Rajesh,Defender,Puneri Paltan Team 2025
Rohan Ashok Tupare,Defender,Puneri Paltan Team 2025
Sanjay Jaibir Enania,Defender,Puneri Paltan Team 2025
Vaibhav Satappa Rabade,Defender,Puneri Paltan Team 2025
Gurdeep,All Rounder,Puneri Paltan Team 2025
