name,role,team
Arjun Deshwal,Raider,Tamil Thalaivas Team 2025
Narender Hoshiyar Kandola,Raider,Tamil Thalaivas Team 2025
Nitesh Kumar,Defender,Tamil Thalaivas Team 2025
Anuj Kaluram Gawade,Defender,Tamil Thalaivas Team 2025
Moein Shafaghi,All Rounder,Tamil Thalaivas Team 2025
Aashish Umed,Defender,Tamil Thalaivas Team 2025
Himanshu,Defender,Tamil Thalaivas Team 2025
Ronak,Defender,Tamil Thalaivas Team 2025
Dhiraj Raindra Bailmare,Raider,Tamil Thalaivas Team 2025
Sagar Rathee,Defender,Tamil Thalaivas Team 2025
Abhiraj Manoj Pawar,Raider,Tamil Thalaivas Team 2025
Rohit Gopal Lal Beniwal,Raider,Tamil Thalaivas Team 2025
Yogesh Yadav,Raider,Tamil Thalaivas Team 2025
Arul Nantha Babu Velusamy,Unknown,Tamil Thalaivas Team 2025
Alireza Khalili,Defender,Tamil Thalaivas Team 2025
Mohit Khaler,Defender,Tamil Thalaivas Team 2025
Tarun,Defender,Tamil Thalaivas Team 2025
Suresh Jadhav,All Rounder,Tamil Thalaivas Team 2025
Pawan Kumar Sehrawat,All Rounder,Tamil Thalaivas Team 2025
