name,role,team
Vijay Malik,All Rounder,Telugu Titans Team 2025
Ajit Pandurang Pawar,Defender,Telugu Titans Team 2025
Shubham Shashikant Shinde,Defender,Telugu Titans Team 2025
Bharat Hooda,All Rounder,Telugu Titans Team 2025
Ashish Kaptan Narwal,Raider,Telugu Titans Team 2025
Sagar Sethpal Rawal,Defender,Telugu Titans Team 2025
Manjeet,Raider,Telugu Titans Team 2025
Shankar Bhimraj Gadai,All Rounder,Telugu Titans Team 2025
Chetan Jaybir Sahu,Raider,Telugu Titans Team 2025
Nitin Rawal,Raider,Telugu Titans Team 2025
Rohit Sukhbir Singh Rathee,Raider,Telugu Titans Team 2025
Praful Sudam Zaware,Raider,Telugu Titans Team 2025
Jai Bhagwan,Raider,Telugu Titans Team 2025
Aman Mukesh,Defender,Telugu Titans Team 2025
Amir Hossein Ejlali,Defender,Telugu Titans Team 2025
Ankit,Defender,Telugu Titans Team 2025
Avi Duhan,Defender,Telugu Titans Team 2025
Bantu Malik,Defender,Telugu Titans Team 2025
Rahul Vinod Dagar,Defender,Telugu Titans Team 2025
Ganesh Parki,All Rounder,Telugu Titans Team 2025
