rank,name,matches,raid_points,defence_points,total_points
1,Pardeep Narwal,244,1801,9,1810
2,Maninder Singh,245,1568,13,1581
3,Pawan Kumar Sehrawat,257,1340,65,1405
4,Arjun Deshwal,173,1383,3,1386
5,Deepak Niwas Hooda,314,1020,99,1119
6,Naveen Kumar,192,1102,14,1116
7,Rahul Chaudhari,297,1045,61,1106
8,Sachin Tanwar,254,899,48,947
9,Ashu Malik,150,882,25,907
10,Ajay Thakur,217,790,21,811
11,Vikash Kandola,203,752,20,772
12,Rohit Kumar,216,685,49,734
13,Shrikant Jadhav,251,692,35,727
14,Siddharth Sirish Desai,143,693,9,702
15,Rishank Devadiga,229,625,47,672
16,Vijay Malik,175,617,32,649
17,Guman Singh,116,647,2,649
18,Sandeep Narwal,312,285,360,645
19,Monu Goyat,194,584,41,625
20,Aslam Inamdar,174,537,84,621
21,Manjeet Chhillar,264,225,391,616
22,Fazel Atrachali,308,15,597,612
23,Kashiling Adake,184,561,51,612
24,Ajinkya Ashok Pawar,206,579,30,609
25,Anup Kumar,182,527,69,596
26,Mohit Goyat,164,495,95,590
27,Rakesh Sungroya,133,575,10,585
28,Surender Gill,136,548,23,571
29,Nitesh Kumar,295,5,564,569
30,Pankaj Deepak Mohite,179,508,32,540
31,Chandran Ranjit,182,503,27,530
32,Nitin Tomar,177,491,38,529
33,Ayan Lohchab,94,500,17,517
34,Prashanth Kumar Rai,198,500,10,510
35,Rohit Gulia,185,490,18,508
36,V. Ajith Kumar,111,494,3,497
37,Jang Kun Lee,191,471,25,496
38,Po Surjeet Singh,324,19,476,495
39,Sukesh Hegde,206,471,16,487
40,Bharat Hooda,106,435,31,466
41,Abhishek Singh,148,442,12,454
42,Sunil Kumar,290,9,442,451
43,Shivam Anil Patare,109,429,19,448
44,Nitin Kumar Dhankhar,49,442,0,442
45,Jasvir Singh,150,380,32,412
46,Parteek Dahiya,112,388,24,412
47,Meraj Sheykh,198,350,54,404
48,Ran Singh,290,104,299,403
49,Rajesh Narwal,187,285,113,398
50,Parvesh Bhainswal,200,4,381,385
51,Bhavani Rajput,120,379,5,384
52,Neeraj Narwal,180,336,44,380
53,Girish Maruti Ernak,224,10,359,369
54,Gagan Raju Gowda,49,367,0,367
55,Akash Santosh Shinde,109,358,9,367
56,Deepak Narwal,170,353,13,366
57,Vishal Bhardwaj,196,5,359,364
58,Ravinder Pahal,168,14,339,353
59,Mahender Singh,230,3,345,348
60,Saurabh Nandal,178,2,333,335
61,Nilesh Salunke,155,318,15,333
62,Sandeep Kumar Dhull,140,1,328,329
63,Nitin Rawal,203,144,181,325
64,Narender Hoshiyar Kandola,88,297,25,322
65,Mahendra Ganesh Rajput,157,294,20,314
66,Rohit Baliyan,135,275,29,304
67,Dharmaraj Cheralathan,201,43,261,304
68,Mohammad Esmaeil Nabibakhsh,174,225,79,304
69,Ajit Ramesh Chouhan,38,303,0,303
70,Wazir Singh,90,278,22,300
71,Surender Nada,192,24,274,298
72,Amir Md. Zafardanesh,116,242,52,294
73,Kuldeep Singh,189,60,230,290
74,Mohit Chhillar,159,7,277,284
75,Pawan Kumar Kadian,94,282,2,284
76,Meetu Mahender Sharma,86,280,2,282
77,Amit Hooda,165,11,268,279
78,Surender Singh,144,146,129,275
79,Devank Dalal,16,271,0,271
80,Rajesh Mondal,167,260,10,270
81,K. Prapanjan,111,264,4,268
82,Mohammadreza Shadloui,96,84,181,265
83,Ajay Kumar,97,260,2,262
84,Rahul Sethpal,175,18,243,261
85,Rakesh Kumar,110,186,74,260
86,Jeeva Kumar,149,1,257,258
87,Shubham Shashikant Shinde,191,8,244,252
88,Sandeep Dukhan Kumar,53,252,0,252
89,Narender Hoshiyar,46,243,6,249
90,Neeraj Kumar,178,2,238,240
91,Shabeer Bappu,132,213,23,236
92,Rinku Sharma,91,0,234,234
93,Ashu Singh,151,4,228,232
94,Abinesh Nadarajan,182,15,207,222
95,Manjeet Dahiya,68,212,10,222
96,Vinod Kumar,180,115,104,219
97,Gaurav Khatri,139,6,212,218
98,More Gb,144,158,59,217
99,Reza Mirbagheri,144,28,188,216
100,Ravi Kumar,154,1,214,215
101,Joginder Singh Narwal,144,5,210,215
102,Alireza Mirzaian,29,212,0,212
103,Himanshu Virender Singh,123,191,19,210
104,Abozar Mohajermighani,127,2,203,205
105,Sonu Jaglan,76,196,9,205
106,Vishal Mane,158,1,203,204
107,Yogesh Bijender Dahiya,64,0,200,200
108,Aditya Tushar Shinde,54,196,4,200
109,Rakesh Narwal,101,186,12,198
110,Ankit Jaglan,70,0,196,196
111,Sushil Om Khatri,37,191,0,191
112,Deepak Kumar Dahiya,94,181,8,189
113,Mahesh Goud,122,165,24,189
114,K Prapanjan,72,185,3,188
115,Sahil Gulia,76,0,187,187
116,Sumit Sangwan,85,5,179,184
117,Cpo Surjeet Singh,75,176,8,184
118,Mohammadreza Shadloui Chianeh,88,10,173,183
119,Ravi Dalal,54,173,6,179
120,Jaideep Kuldeep Dahiya,82,4,175,179
121,Anil Kumar,172,53,126,179
122,Jai Bhagwan,66,170,7,177
123,Deepak Singh,116,16,158,174
124,Surjeet Narwal,62,160,14,174
125,Nitin Madane,62,165,8,173
126,Sagar Rathee,79,1,168,169
127,Mohsen Maghsoudloujafari,150,113,56,169
128,Mohit Nandal,112,5,156,161
129,Ashish Kaptan Narwal,60,142,18,160
130,Krishan Dhull,85,0,160,160
131,Selvamani K,89,154,6,160
132,Shrikant Tewthia,141,78,81,159
133,Vishwas S,49,158,1,159
134,Sudhakar Maruthamuthu,49,157,0,157
135,Vishal Lather,69,0,156,156
136,Abolfazl Maghsodloumahali,76,147,8,155
137,Nilesh Shinde,138,18,135,153
138,Farhad Rahimi Milaghardan,124,74,79,153
139,Sahul Kumar,107,1,152,153
140,Hadi Oshtorak,156,25,127,152
141,Rinku Narwal,123,3,148,151
142,Ashish Kumar,152,45,106,151
143,Athul Ms,73,147,1,148
144,Akshit Kuldeep Dhull,33,148,0,148
145,Adarsh T,104,112,32,144
146,Ankush Rathee,47,0,143,143
147,Ashish Sahdev Malik,55,0,141,141
148,Moein Shafaghi,41,131,10,141
149,Tushar Patil,78,135,4,139
150,Rohit Rana,104,2,136,138
151,Sonu Narwal,33,138,0,138
152,Ankit Beniwal,58,122,16,138
153,Abishek S Manokaran,78,0,135,135
154,Amit Kumar,108,65,64,129
155,Dong Geon Lee,67,127,2,129
156,Sanket Suresh Sawant,105,0,127,127
157,C. Arun,172,5,121,126
158,Surinder Singh,114,6,120,126
159,Ali Samadi,38,121,5,126
160,Sunil Jaipal,74,87,38,125
161,Jaideep Kuldeep,64,3,120,123
