name,role,team
Sunil Kumar,Defender,U Mumba Team 2025
Parvesh Bhainswal,Defender,U Mumba Team 2025
Ajit Ramesh Chouhan,Raider,U Mumba Team 2025
Amir MD. Zafardanesh,All Rounder,U Mumba Team 2025
Rinku Sharma,Defender,U Mumba Team 2025
Mukilan Shanmugam,Defender,U Mumba Team 2025
Lokesh Jaisaram Ghosliya,Defender,U Mumba Team 2025
Dhanasekar Malayali,Raider,U Mumba Team 2025
Deepak Kundu,Defender,U Mumba Team 2025
Sathish Kannan Suryan,Raider,U Mumba Team 2025
Abhimanyu Raghuvanshi,Raider,U Mumba Team 2025
Sandeep Dukhan Kumar,Raider,U Mumba Team 2025
Ravi Shivraj Bhati,Defender,U Mumba Team 2025
Vijay Kumar Ajmer Redhu,Defender,U Mumba Team 2025
Amarjeet Yadav,All Rounder,U Mumba Team 2025
Anil,All Rounder,U Mumba Team 2025
Mohammad Ghorbani,All Rounder,U Mumba Team 2025
Sachin Narwal,All Rounder,U Mumba Team 2025
